,Stocks,Sector,Link
426,JSW Energy,Utilities,https://www.livemint.com/market/nifty-next-50-stocks-I0032
427,Jindal Steel & Power,Basic Materials,https://www.livemint.com/market/nifty-next-50-stocks-I0032
428,Jio Financial Services,,https://www.livemint.com/market/nifty-next-50-stocks-I0032
430,Life Insurance Corporation of India,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
431,Macrotech Developers,Capital Goods,https://www.livemint.com/market/nifty-next-50-stocks-I0032
432,NHPC,Utilities,https://www.livemint.com/market/nifty-next-50-stocks-I0032
434,Power Finance Corp,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
435,Punjab National Bank,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
436,REC,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
437,Samvardhana Motherson International,Consumer Cyclical,https://www.livemint.com/market/nifty-next-50-stocks-I0032
440,TVS Motor Co,Consumer Cyclical,https://www.livemint.com/market/nifty-next-50-stocks-I0032
